"tipo_asentamiento_id","tipo_asentamiento"
"09","Colonia"
"28","Pueblo"
"02","Barrio"
"17","Equipamiento"
"04","Campamento"
"01","Aeropuerto"
"21","Fraccionamiento"
"10","Condominio"
"31","Unidad habitacional"
"33","Zona comercial"
"48","Rancho"
"29","Ranchería"
"26","Parque industrial"
"23","Granja"
"15","Ejido"
"34","Zona federal"
"37","Zona industrial"
"24","Hacienda"
"45","Paraje"
"16","Estación"
"47","Zona militar"
"12","Conjunto habitacional"
"30","Residencial"
"22","Gran usuario"
"27","Poblado comunal"
"39","Club de golf"
"40","Puerto"
"38","Ampliación"
"25","Ingenio"
"32","Villa"
"11","Congregación"
"18","Exhacienda"
"20","Finca"
"46","Zona naval"
